,Unnamed: 0,dob,photo_taken,full_path,gender,name,face_location,face_score,second_face_score,date_of_birth,age
1258,3477,696669,1971,['61/940461_1907-06-01_1971.jpg'],1.0,['Jan Patočka'],[[ 34.57940252 135.91761006 337.79402516 439.13223271]],3.711536418326272,,1907,64
1175,3154,721263,2013,['55/44013455_1974-10-01_2013.jpg'],1.0,['Hasan Özer'],[[199.64  37.72 264.96 103.04]],3.605715878307084,,1974,39
492,1434,720837,2008,['36/12063536_1973-08-01_2008.jpg'],1.0,['Les Hill'],[[155.76 155.76 281.6  281.6 ]],3.965061264567359,,1973,35
13064,36798,719809,2007,['53/3850153_1970-10-08_2007.jpg'],0.0,['Anne-Marie Duff'],[[154.2  77.4 240.  163.2]],3.3720524903609914,,1970,37
8856,24721,719844,2010,['42/493942_1970-11-12_2010.jpg'],0.0,['Sarah Harmer'],[[152.25521538 118.61050085 302.80243075 269.15771622]],3.914183559591711,,1970,40
6138,17272,721431,2007,['10/27244710_1975-03-18_2007.jpg'],1.0,['Peter Rojas'],[[146.718  68.094 247.104 168.48 ]],5.318124092169188,,1975,32
18901,53444,714052,1984,['85/4484285_1955-01-03_1984.jpg'],1.0,['Willy T. Ribbs'],[[177.19461741  59.42087247 264.99092612 147.21718118]],3.330190837027452,,1955,29
1556,4264,723670,2014,['60/26043360_1981-05-04_2014.jpg'],1.0,['Dallon Weekes'],[[130.26938271  97.92203703 274.95243825 242.60509258]],4.108945066905814,,1981,33
21463,60444,725980,2010,['12/26994312_1987-08-31_2010.jpg'],0.0,['Lisa Uhl'],[[163.8  48.6 249.6 134.4]],3.0323053825013195,,1987,23
14897,42111,723577,2013,['95/46654195_1981-01-31_2013.jpg'],1.0,['Viktor Åkerblom Nilsson'],[[ 79.70262713 132.25104521 315.2905085  367.83892658]],3.4835290203079072,,1981,32
14082,39766,700593,1943,['12/13659912_1918-02-27_1943.jpg'],1.0,['Harold Brownlow Martin'],[[152.67316395  86.17702972 237.48619367 170.99005944]],3.3850662393921738,,1918,25
19045,53817,725732,2014,['93/25844193_1986-12-26_2014.jpg'],1.0,['Kit Harington'],[[121.60456282 151.78570353 392.35482917 422.53596987]],4.4111381540276415,,1986,28
13527,38097,711701,2013,['53/4068953_1948-07-27_2013.jpg'],0.0,['Juliet Marillier'],[[193.04458123  35.57846931 349.92469315 192.45858123]],3.3794520645633455,,1948,65
20444,57682,702576,1955,['76/1291976_1923-08-03_1955.jpg'],0.0,['Jean Hagen'],[[ 86.24515703 128.92773554 277.43676033 320.11933885]],3.516516633653396,,1923,32
20344,57413,726635,2013,['74/31989874_1989-06-16_2013.jpg'],1.0,['Eduardo Alejandro López'],[[ 64.35247695  64.35247695 136.09451351 136.09451351]],5.399384470186776,,1989,24
19065,53868,727406,2012,['54/25887854_1991-07-27_2012.jpg'],1.0,['Patrick Cehlin'],[[ 93.50122716 155.23537861 370.40490865 432.13906009]],3.121405492549941,,1991,21
17974,50934,720693,2012,['92/408292_1973-03-10_2012.jpg'],1.0,['Nick Bostrom'],[[154.42428145  46.83688443 292.02293475 184.43553774]],4.4320379800708665,,1973,39
21111,59549,701037,2014,['48/44968248_1919-05-17_2014.jpg'],0.0,['Verna M. Linzey'],[[ 73.986  45.666 124.608  96.288]],3.4789691472980397,,1919,95
6329,17801,722821,2011,['23/2825723_1979-01-06_2011.jpg'],1.0,['Juris Laizāns'],[[154.4 103.2 384.  332.8]],4.094130498760741,,1979,32
21869,61585,692422,1945,['00/28987400_1895-10-14_1945.jpg'],0.0,['Princess Calixta of Lippe'],[[109.25160159  73.04773439 173.77856254 137.57469535]],3.5760520356030323,,1895,50
3827,10674,702774,1951,['92/761492_1924-02-17_1951.jpg'],0.0,['Margaret Truman'],[[209.76204393  80.49249292 298.31434847 169.04479746]],4.6983371920301655,,1924,27
2478,6811,711968,2009,['60/6019460_1949-04-20_2009.jpg'],1.0,['Rob Couhig'],[[118.42671155 133.1300505  249.95676205 264.66010099]],3.9021954877860363,,1949,60
12140,34118,723367,2011,['97/14553797_1980-07-05_2011.jpg'],1.0,['Hannes Reichelt'],[[131.84006648 175.50675531 327.50016621 371.16685504]],3.088789820587297,,1980,31
14776,41705,698066,2009,['50/2663450_1911-03-29_2009.jpg'],0.0,['Freya von Moltke'],[[181.96684423  76.33285176 316.9019774  211.26798494]],3.7648934417368967,,1911,98
21032,59318,709538,2013,['72/24969472_1942-08-25_2013.jpg'],1.0,['Brady J. Deaton'],[[150.2690248   86.24515703 245.42482645 181.40095868]],3.534841911177418,,1942,71
20155,56900,713606,2005,['77/509577_1953-10-14_2005.jpg'],0.0,['Linda Johnson'],[[111.06668069  35.40210969 162.96984523  87.30527423]],3.074853590187532,,1953,52
10027,28096,720037,2012,['19/34495119_1971-05-24_2012.jpg'],1.0,['Thomas Langmann'],[[ 24.31876598 119.18582989 237.16765979 332.0347237 ]],4.9818628440436905,,1971,41
6907,19341,716707,2008,['97/11389097_1962-04-11_2008.jpg'],1.0,['Jason Dasey'],[[241.82732191  71.63391821 368.75237469 198.55897098]],4.287597546384907,,1962,46
16760,47391,701065,1959,['00/1578500_1919-06-14_1959.jpg'],1.0,['Gene Barry'],[[120.35276175  80.52850783 298.68190437 258.85765046]],3.8615703744438634,,1919,40
615,1776,721537,2010,['06/32077706_1975-07-02_2010.jpg'],1.0,['Maxim Mehmet'],[[ 57.45113457 170.9134037  312.02124012 425.48350925]],4.5721790674952825,,1975,35
20347,57423,726157,2008,['42/31996742_1988-02-24_2008.jpg'],1.0,['Jan Ghyselinck'],[[146.44305555  81.74836419 291.12611109 226.43141974]],3.211840934791547,,1988,20
8690,24216,719935,2015,['47/483047_1971-02-11_2015.jpg'],1.0,['Damian Lewis'],[[ 97.92203703 162.61672838 388.16814812 452.86283947]],4.787296242916006,,1971,44
15919,45088,716285,2006,['12/517212_1961-02-13_2006.jpg'],1.0,['Marc Crawford'],[[180.26532912  96.57084219 286.95252658 203.25803966]],3.401450432485853,,1961,45
13941,39359,703168,1960,['25/3262625_1925-03-17_1960.jpg'],1.0,['Gabriele Ferzetti'],[[145.59075522  97.28183682 289.85351045 241.54459204]],3.1731548570569377,,1925,35
18017,51056,703255,2010,['61/6088261_1925-06-12_2010.jpg'],1.0,['Raphaël Géminiani'],[[130.26938271 146.44305555 274.95243825 291.12611109]],3.5533829306699483,,1925,85
14995,42463,726244,2014,['75/27615775_1988-05-21_2014.jpg'],0.0,['Park Gyu-ri'],[[107.58644628 107.58644628 298.77804959 298.77804959]],5.4951055120992125,,1988,26
16756,47383,718497,2008,['84/1577684_1967-03-06_2008.jpg'],1.0,['Shuler Hensley'],[[ 33.30348048 131.05392191 325.83480477 423.5852462 ]],3.854365713123475,,1967,41
13758,38890,712509,2014,['52/5165952_1950-10-13_2014.jpg'],1.0,['Simon Nicol'],[[214.768  48.112 285.696 119.04 ]],3.209246367438386,,1950,64
21145,59625,725555,2012,['90/8490390_1986-07-02_2012.jpg'],0.0,['Lindsay Lohan'],[[ 40.70425392 160.17701567 398.24253916 517.71530091]],4.40443635376275,,1986,26
460,1344,726197,2011,['92/12010092_1988-04-04_2011.jpg'],1.0,['James Meredith'],[[126.90761833  59.00351615 213.41289256 145.50879038]],3.470220291717043,,1988,23
6068,17089,725339,2010,['96/9626096_1985-11-28_2010.jpg'],1.0,['Abner Mares'],[[128.92773554 107.58644628 320.11933885 298.77804959]],5.270478853725828,,1985,25
22128,62273,707703,1969,['30/7997530_1937-08-16_1969.jpg'],1.0,['Jack Brennan'],[[ 91.42342212  91.42342212 362.17368846 362.17368846]],4.422785151650273,,1937,32
16783,47455,725896,2011,['17/25734217_1987-06-08_2011.jpg'],1.0,['John Conner'],[[127.6   43.12 253.44 168.96]],3.215669158536836,,1987,24
16839,47597,715761,2015,['13/35733413_1959-09-08_2015.jpg'],1.0,['Viktor Chirkov'],[[ 98.93881545  98.93881545 318.69115021 318.69115021]],4.164154648661523,,1959,56
11152,31415,714423,2011,['89/1056489_1956-01-09_2011.jpg'],0.0,['Imelda Staunton'],[[ 79.70262713 158.52525425 315.2905085  394.11313563]],3.72060786101445,,1956,55
20491,57820,717424,2013,['64/12992764_1964-03-28_2013.jpg'],1.0,['Alexander Volkov'],[[148.996  62.532 259.392 172.928]],3.180871356014793,,1964,49
21236,59855,716365,2011,['58/2590858_1961-05-04_2011.jpg'],1.0,['Chris Packham'],[[114.09570987  97.92203703 258.77876541 242.60509258]],3.756631616114001,,1961,50
22004,61938,711551,2008,['32/199832_1948-02-28_2008.jpg'],0.0,['Bernadette Peters'],[[138.11816489 138.11816489 343.09541222 343.09541222]],3.816892596416647,,1948,60
15838,44833,727684,2014,['80/31716980_1992-04-30_2014.jpg'],1.0,['Marc-André ter Stegen'],[[103.8902524  172.48375401 411.56100961 480.15451122]],3.4257604605224263,,1992,22
18778,53095,693579,1952,['04/1483004_1898-12-14_1952.jpg'],0.0,['Lillian Randolph'],[[145.11175504  64.9785578  288.47951008 208.34631284]],5.402346431105465,,1898,54
8875,24780,723857,2015,['09/6934909_1981-11-07_2015.jpg'],0.0,['Anushka Shetty'],[[ 93.82044836 155.91008061 232.83612091 294.92575315]],4.3736681757057765,,1981,34
5957,16739,724435,2011,['93/262793_1983-06-08_2011.jpg'],0.0,['Kim Clijsters'],[[160.17701567 120.35276175 338.50615829 298.68190437]],3.819026654828273,,1983,28
13553,38170,717673,2009,['90/7065790_1964-12-02_2009.jpg'],1.0,['David Pujadas'],[[122.22159338  52.88354002 277.35221344 208.01416008]],3.730129642235541,,1964,45
12442,34929,721418,2006,['01/355001_1975-03-05_2006.jpg'],0.0,['Jolene Blalock'],[[130.26938271 114.09570987 274.95243825 258.77876541]],4.899306934021345,,1975,31
5043,14134,724040,2013,['70/32272770_1982-05-09_2013.jpg'],0.0,['Barbara Cabrita'],[[223.8240566   65.90534984 306.54807783 148.62937107]],4.029075323958189,,1982,31
14785,41730,723542,2015,['31/26657331_1980-12-27_2015.jpg'],0.0,['Elizabeth Rodriguez'],[[132.25104521 105.97683617 367.83892658 341.56471754]],5.734093584454612,,1980,35
4274,11934,727906,2013,['11/29152611_1992-12-08_2013.jpg'],1.0,['Moritz Leitner'],[[ 89.94437768 112.2304721  289.71922746 312.00532189]],3.049100424848743,,1992,21
6781,19021,716075,2011,['93/4036293_1960-07-18_2011.jpg'],0.0,['Lorrie Sprecher'],[[ 97.48203703  32.78734568 169.8235648  105.12887345]],3.016373264396988,,1960,51
21660,61005,725027,2013,['66/27964866_1985-01-20_2013.jpg'],1.0,['Brantley Gilbert'],[[ 80.68983471  80.68983471 224.08353719 224.08353719]],3.3827548014295687,,1985,28
6395,18001,726807,2013,['03/38299403_1989-12-05_2013.jpg'],1.0,['Blidi Wreh-Wilson'],[[155.33537861  69.5935016  308.67075721 222.92888021]],3.5829772196830936,,1989,24
1899,5254,715003,2013,['74/180274_1957-08-11_2013.jpg'],1.0,['David Henry Hwang'],[[ 91.97414162  76.74278468 228.47035405 213.23899711]],4.807477979868807,,1957,56
5714,16086,726141,2012,['68/25245468_1988-02-08_2012.jpg'],0.0,['Ishita Sharma'],[[108.91053656  62.5483066  247.26522642 200.90299646]],4.685681208432978,,1988,24
20373,57494,721034,2014,['52/41957652_1974-02-14_2014.jpg'],1.0,['Liao Fan'],[[186.66671384 130.93069969 352.99475629 297.25874214]],3.2634334424266074,,1974,40
5137,14396,709395,1962,['86/722986_1942-04-04_1962.jpg'],1.0,['Jim Fregosi'],[[ 25.61040859  50.85281718 138.83324724 164.07565583]],3.166453270782541,,1942,20
1368,3724,715932,2004,['94/25076294_1960-02-26_2004.jpg'],1.0,['Miguel Cerejido'],[[ 37.13417855  73.85835709 146.89671419 183.62089273]],4.732321776045621,,1960,44
16664,47152,724473,2013,['80/44777080_1983-07-16_2013.jpg'],0.0,['Portal:Kashmir/Selected biography/3'],[[ 38.9723609  115.79708269 211.26798494 288.09270673]],4.511021494806071,,1983,30
9912,27817,704315,2009,['06/24416806_1928-05-07_2009.jpg'],1.0,['T. J. S. George'],[[192.95160331 107.58644628 384.14320662 298.77804959]],3.5743950260699315,,1928,81
19718,55630,687879,1940,['97/38840297_1883-05-07_1940.jpg'],1.0,['Kiyoshi Hasegawa'],[[ 95.11319082  47.85959541 236.26797705 189.01438164]],3.554908679369922,,1883,57
13164,37090,699742,1954,['57/19516857_1915-10-30_1954.jpg'],1.0,['Hugh Reilly'],[[121.60456282 151.78570353 392.35482917 422.53596987]],5.294651322878852,,1915,39
19787,55834,723907,2015,['94/988994_1981-12-27_2015.jpg'],0.0,['Emilie de Ravin'],[[105.97683617 158.52525425 341.56471754 394.11313563]],6.050207447338178,,1981,34
7849,22049,719157,2012,['56/1536256_1968-12-25_2012.jpg'],0.0,['Helena Christensen'],[[160.17701567 160.17701567 338.50615829 338.50615829]],3.2225231905212874,,1968,44
18345,51974,724891,2007,['82/22825982_1984-09-06_2007.jpg'],0.0,['Orsi Kocsis'],[[212.14798494  61.24228141 347.08311811 196.17741458]],3.034147347354,,1984,23
9913,27818,726059,2009,['53/24419453_1987-11-18_2009.jpg'],0.0,['Angelina Armani'],[[162.61672838 178.79040122 307.29978393 323.47345677]],5.010605326056759,,1987,22
10031,28102,717256,2009,['81/3449681_1963-10-12_2009.jpg'],1.0,['Raimond Aumann'],[[ 61.52292453 122.32584906 334.41608491 395.21900943]],3.863863497512901,,1963,46
20704,58441,704084,1960,['66/1394966_1927-09-19_1960.jpg'],1.0,['William Hickey'],[[ 78.47623005 104.46830673 194.94057513 220.93265181]],3.0399926004143305,,1927,33
15394,43533,707724,2009,['69/29669_1937-09-06_2009.jpg'],1.0,['Sergio Aragonés'],[[ 61.24228141  91.42342212 331.99254776 362.17368846]],3.3015325671177993,,1937,72
19106,53978,718711,2013,['51/3588451_1967-10-06_2013.jpg'],1.0,['Attila Ambrus'],[[ 24.23797274  71.51391821 236.37972736 283.65567283]],4.568661313042911,,1967,46
12762,35967,725306,2013,['30/4659630_1985-10-26_2013.jpg'],0.0,['Asin'],[[ 89.9563973   89.9563973  223.35599324 223.35599324]],6.0706127220159605,,1985,28
16502,46724,722940,2012,['80/1472980_1979-05-05_2012.jpg'],0.0,['Charmane Star'],[[178.79040122 114.09570987 323.47345677 258.77876541]],4.1128305469083335,,1979,33
8396,23430,729401,2013,['90/27367390_1997-01-11_2013.jpg'],1.0,['Cody Simpson'],[[ 91.42342212 151.78570353 362.17368846 422.53596987]],5.590607179029393,,1997,16
7572,21278,709015,1964,['43/7334943_1941-03-20_1964.jpg'],1.0,['Kenji Kimihara'],[[124.09153262  72.69422736 215.86868208 164.47137682]],3.604696701394816,,1941,23
3990,11131,708063,1958,['83/47133983_1938-08-11_1958.jpg'],0.0,['Najat Al Saghira'],[[ 57.55519983  95.55599972 228.00479933 266.00559921]],5.02746927084311,,1938,20
6705,18834,712405,2007,['37/2039437_1950-07-01_2007.jpg'],1.0,['Thomas Mesereau'],[[100.44063479 100.44063479 278.76977741 278.76977741]],4.117714638796,,1950,57
9297,26065,721342,2010,['57/4144157_1974-12-19_2010.jpg'],0.0,['Jasmila Žbanić'],[[105.97683617 158.52525425 341.56471754 394.11313563]],5.4069998484976605,,1974,36
6894,19309,710259,2011,['66/113666_1944-08-15_2011.jpg'],0.0,['Sylvie Vartan'],[[ 87.05781202 108.66476502 280.89038906 302.49734207]],4.451536871230371,,1944,67
12999,36614,717465,2006,['66/18535966_1964-05-08_2006.jpg'],1.0,['Stephen Payne'],[[ 83.02196639  65.35111645 135.47651621 117.80566627]],3.6286905783107204,,1964,42
15924,45098,715054,2012,['22/5176422_1957-10-01_2012.jpg'],0.0,['Yvette Freeman'],[[204.64305204  98.53338498 277.51759077 171.40792371]],3.5875928244001414,,1957,55
9634,26970,723598,2013,['56/924756_1981-02-21_2013.jpg'],0.0,['Floor Jansen'],[[136.47513317  57.24963882 237.67648305 158.4509887 ]],3.1224287944699123,,1981,32
1490,4063,724434,2011,['08/9507208_1983-06-07_2011.jpg'],1.0,['Piotr Małachowski'],[[107.30368895  64.66781337 298.45112907 255.81525349]],3.8524808152223433,,1983,28
7071,19821,711854,1972,['83/41395883_1948-12-27_1972.jpg'],1.0,['Klaas Balk'],[[128.92773554 150.2690248  320.11933885 341.4606281 ]],3.8539424394205706,,1948,24
5176,14482,717651,2011,['13/1323113_1964-11-10_2011.jpg'],1.0,['Magnús Scheving'],[[160.93966942  75.5745124  256.09547108 170.73031405]],3.9185152899251223,,1964,47
14969,42377,701583,1952,['70/1765370_1920-11-13_1952.jpg'],1.0,['Jack Elam'],[[109.29555763   0.746      434.19823051 325.64867288]],3.2755503376022173,,1920,32
20635,58272,707291,1973,['09/5291209_1936-06-30_1973.jpg'],1.0,['Tony Musante'],[[105.97683617 132.25104521 341.56471754 367.83892658]],3.155673094593141,,1936,37
21452,60422,702148,1941,['52/2698152_1922-06-01_1941.jpg'],0.0,['Joan Caulfield'],[[123.3730785   68.84815472 245.362157   190.83723322]],5.389088091043303,,1922,19
6826,19137,724854,2008,['66/6039666_1984-07-31_2008.jpg'],0.0,['Marina Pérez'],[[111.96285159  87.22177346 222.66970318 197.92862504]],3.1692700974312835,,1984,24
6286,17690,718229,2007,['77/18278877_1966-06-11_2007.jpg'],1.0,['Vasili Kulkov'],[[ 68.53120922  42.95500576 144.93181959 119.35561613]],3.0535329831944606,,1966,41
11477,32302,712308,2014,['49/315149_1950-03-26_2014.jpg'],1.0,['Martin Short'],[[156.89062006 139.55610672 312.02124012 294.68672678]],3.7206407964563613,,1950,64
12392,34795,696038,1950,['73/155973_1905-09-08_1950.jpg'],1.0,['Henry Wilcoxon'],[[108.18250491  32.78795147 204.64235933 129.24780589]],3.427656942281973,,1905,45
1338,3655,719927,2007,['90/2501590_1971-02-03_2007.jpg'],0.0,['Elisa Donovan'],[[ 98.93881545 123.45351931 318.69115021 343.20585407]],4.7579393356810655,,1971,36
18913,53486,720738,2013,['68/44888268_1973-04-24_2013.jpg'],1.0,['User:Atulkrmisra/sandbox'],[[ 26.44553061  65.54382652 143.36041835 182.45871426]],4.826600150682448,,1973,40
1436,3891,728312,2014,['88/45019288_1994-01-18_2014.jpg'],1.0,['Miles Scotson'],[[186.66671384 112.3520283  352.99475629 278.68007076]],3.867440130835438,,1994,20
5597,15732,718523,2004,['12/442612_1967-04-01_2004.jpg'],1.0,['Tomonobu Itagaki'],[[147.09137588  73.89768794 311.07317375 237.87948581]],3.3296962905556717,,1967,37
19704,55594,727226,2011,['71/38800071_1991-01-28_2011.jpg'],1.0,['Wan Zack Haikal'],[[152.80731132 110.58305818 228.01096698 185.78671384]],3.4941962506991757,,1991,20
6486,18249,695680,1942,['08/1927208_1904-09-15_1942.jpg'],1.0,['Tom Conway'],[[ 23.68689072  69.96467217 231.38890723 277.66668868]],3.420624387329232,,1904,38
2636,7186,716121,2005,['64/3112464_1960-09-02_2005.jpg'],1.0,['Rex Hudler'],[[141.46556854  26.3313761  255.85376098 140.71956854]],4.269096383597352,,1960,45
16146,45808,707083,1964,['89/4272289_1935-12-05_1964.jpg'],0.0,['Marise Chamberlain'],[[100.26642319  77.24663322 168.81179309 145.79200313]],3.1523147254660704,,1935,29
10769,30256,731419,2010,['16/1843716_2002-07-22_2010.jpg'],1.0,['Prince Felix of Denmark'],[[148.02336339 107.83880974 267.89702434 227.71247069]],4.24772729640518,,2002,8
18658,52796,722179,2008,['45/3385545_1977-04-04_2008.jpg'],1.0,['Stephen Mulhern'],[[171.51679853  73.88662794 390.52068235 292.89051176]],3.7817140236904674,,1977,31
364,1052,724071,2012,['38/31042738_1982-06-09_2012.jpg'],1.0,['Connect-R'],[[107.58644628 171.61031405 298.77804959 362.80191736]],4.199120963961755,,1982,30
16573,46903,715522,2010,['51/24748251_1959-01-12_2010.jpg'],1.0,['John Lott'],[[166.87627388 136.69513317 301.81140705 271.63026635]],4.512265117309774,,1959,51
3566,9920,704410,1958,['73/35193473_1928-08-10_1958.jpg'],1.0,['Leopold Suhodolčan'],[[ 92.3095633   73.97925064 256.62437725 238.29406459]],4.455518486116938,,1928,30
20091,56725,726955,2013,['70/30962270_1990-05-02_2013.jpg'],1.0,['Francesco Friedrich'],[[ 76.33285176  61.24228141 211.26798494 196.17741458]],4.235665622964345,,1990,23
1114,2991,727105,2013,['09/24083809_1990-09-29_2013.jpg'],0.0,['Sara Björk Gunnarsdóttir'],[[ 97.62580477  68.50786334 184.41362906 155.29568763]],5.143835641260135,,1990,23
9066,25412,723427,2008,['43/704143_1980-09-03_2008.jpg'],0.0,['Jennie Finch'],[[174.1451334   95.35189094 315.17296982 236.37972736]],4.84924387051446,,1980,28
18611,52655,725843,2011,['64/23863464_1987-04-16_2011.jpg'],1.0,['Vladimir Gogberashvili'],[[177.24006733  59.61335578 308.77011782 191.14340627]],3.8847073185490824,,1987,24
8582,23910,721844,2012,['54/28345954_1976-05-04_2012.jpg'],0.0,['Gail Carriger'],[[104.88708004 104.88708004 260.0177001  260.0177001 ]],3.0176319124095645,,1976,36
8870,24764,724589,2011,['09/6930109_1983-11-09_2011.jpg'],1.0,['Christian Olsen'],[[164.98196426  77.44064999 262.62394281 175.08262854]],3.249116264938908,,1983,28
17516,49674,716866,2008,['22/3875022_1962-09-17_2008.jpg'],1.0,['BeBe Winans'],[[188.106  56.842 271.904 140.64 ]],3.0242167545338,,1962,46
11817,33262,719866,2008,['05/42537705_1970-12-04_2008.jpg'],1.0,['Peder Lamm'],[[113.52 169.84 366.08 422.4 ]],4.220744951936309,,1970,38
11989,33722,707916,1973,['79/335179_1938-03-17_1973.jpg'],1.0,['Rudolf Nureyev'],[[107.58644628  86.24515703 298.77804959 277.43676033]],4.33053262192283,,1938,35
5753,16186,722026,2011,['04/3521904_1976-11-02_2011.jpg'],1.0,['Daniel da Cruz Carvalho'],[[ 96.98135339  69.48610956 219.9619506  192.46670678]],5.684827800362638,,1976,35
20040,56566,728063,2013,['88/20948288_1993-05-14_2013.jpg'],0.0,['Kristina Mladenovic'],[[160.22557511  74.42411159 269.66174249 183.86027897]],4.45472095530269,,1993,20
1587,4347,722092,2010,['35/36002635_1977-01-07_2010.jpg'],1.0,['Andi Siebenhofer'],[[192.95160331 128.92773554 384.14320662 320.11933885]],3.5457111885488213,,1977,33
7570,21276,721616,2013,['51/7334451_1975-09-19_2013.jpg'],1.0,['Laurențiu Reghecampf'],[[ 69.49908244 115.24513741 274.47632978 320.22238474]],4.352962983002814,,1975,38
1340,3657,710926,2008,['57/25018857_1946-06-13_2008.jpg'],1.0,['Igor Starygin'],[[ 73.20773439 145.61546879 398.24253916 470.65027356]],3.5267914968688707,,1946,62
3267,8995,713111,2014,['79/14185879_1952-06-06_2014.jpg'],0.0,['Deborah Crombie'],[[ 40.70425392 120.35276175 398.24253916 477.891047  ]],3.3134773090705965,,1952,62
18510,52388,690857,1940,['30/8288730_1891-07-02_1940.jpg'],1.0,['Gus Dorais'],[[ 20.14250197  39.81900393 196.76501965 216.44152162]],3.054464178893769,,1891,49
20220,57094,709313,2007,['70/1195670_1942-01-12_2007.jpg'],0.0,['Bernardine Dohrn'],[[139.55610672  70.21805336 294.68672678 225.34867342]],3.235744131401898,,1942,65
1263,3489,724786,2011,['30/9408530_1984-05-24_2011.jpg'],1.0,['Dmitri Kruglov'],[[ 95.89666975  35.17187991 173.49939954 112.7746097 ]],3.3087911611455607,,1984,27
12944,36499,699380,1949,['30/7753830_1914-11-02_1949.jpg'],1.0,['Tom McBride'],[[ 49.14744478  58.89653373 136.48724538 146.23633434]],4.346662285978451,,1914,35
